epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1611,1.98083,6.36891,2.49633,0.00018,0.0007,0.00019,0.00017,1.42178,5.17463,1.76768,1.23161e-05,1.23161e-05,1.23161e-05
2,165.066,1.49596,5.98476,2.04517,0.00251,0.08678,0.00413,0.00156,1.70143,4.84569,2.06893,2.22092e-05,2.22092e-05,2.22092e-05
3,243.368,1.42603,5.59034,1.92696,0.0039,0.20569,0.01314,0.00427,1.79589,4.38003,2.04564,2.96602e-05,2.96602e-05,2.96602e-05
4,324.151,1.41264,5.33689,1.90661,0.69081,0.02318,0.02169,0.00783,1.82038,4.07403,1.99816,2.6011e-05,2.6011e-05,2.6011e-05
5,403.035,1.40357,5.14049,1.88267,0.6459,0.04309,0.02825,0.00874,1.96377,3.93949,2.11395,2.2348e-05,2.2348e-05,2.2348e-05
6,481.061,1.4018,5.011,1.88117,0.67276,0.04783,0.03785,0.01253,1.97087,3.72957,2.08767,1.8685e-05,1.8685e-05,1.8685e-05
7,558.459,1.38647,4.8898,1.86979,0.65399,0.05627,0.04544,0.01447,1.97098,3.69288,2.09367,1.5022e-05,1.5022e-05,1.5022e-05
8,636.539,1.36811,4.82569,1.84864,0.64822,0.0601,0.05259,0.01846,1.95503,3.54398,2.03533,1.1359e-05,1.1359e-05,1.1359e-05
9,714.004,1.3671,4.75178,1.83888,0.6586,0.06302,0.05495,0.01901,1.96393,3.52153,2.04915,7.696e-06,7.696e-06,7.696e-06
10,791.724,1.36271,4.73594,1.83659,0.65865,0.05865,0.05652,0.01924,2.01608,3.50279,2.09531,4.033e-06,4.033e-06,4.033e-06
