epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5347,1.32606,5.66588,1.54167,0.0087,0.01037,0.00491,0.00313,1.11471,4.78291,1.38561,1.33152e-05,1.33152e-05,1.33152e-05
2,125.688,1.21083,5.16916,1.46433,0.00598,0.30311,0.02082,0.01371,1.11528,4.12769,1.45377,2.61209e-05,2.61209e-05,2.61209e-05
3,182.469,1.20997,4.71464,1.49757,0.60225,0.04947,0.04524,0.03219,1.13844,3.70477,1.49639,3.83986e-05,3.83986e-05,3.83986e-05
4,238.749,1.24299,4.38397,1.52941,0.60697,0.08875,0.07792,0.05577,1.13833,3.39655,1.51485,3.7624e-05,3.7624e-05,3.7624e-05
5,294.953,1.23407,4.08315,1.53325,0.62447,0.10873,0.11731,0.08418,1.13772,3.135,1.52218,3.6832e-05,3.6832e-05,3.6832e-05
6,351.15,1.226,3.89635,1.51522,0.53395,0.15839,0.15385,0.11083,1.12754,2.99758,1.52083,3.604e-05,3.604e-05,3.604e-05
7,407.403,1.23346,3.7417,1.53656,0.51523,0.19101,0.18639,0.13504,1.11364,2.80879,1.51283,3.5248e-05,3.5248e-05,3.5248e-05
8,463.777,1.22846,3.59385,1.52541,0.40701,0.25482,0.21276,0.15552,1.13137,2.73177,1.53098,3.4456e-05,3.4456e-05,3.4456e-05
9,520.226,1.23908,3.47535,1.52842,0.5111,0.26702,0.24639,0.18186,1.12171,2.57647,1.52863,3.3664e-05,3.3664e-05,3.3664e-05
10,576.112,1.2303,3.33383,1.5189,0.53178,0.28481,0.27816,0.20725,1.11737,2.50732,1.51318,3.2872e-05,3.2872e-05,3.2872e-05
11,632.515,1.22711,3.2572,1.52073,0.49319,0.32363,0.30565,0.22658,1.12527,2.44993,1.53084,3.208e-05,3.208e-05,3.208e-05
12,688.77,1.21601,3.1703,1.51831,0.50615,0.34844,0.32235,0.24344,1.12932,2.38918,1.52824,3.1288e-05,3.1288e-05,3.1288e-05
13,745.038,1.21266,3.07301,1.50472,0.48282,0.36768,0.34012,0.25629,1.13469,2.33871,1.52402,3.0496e-05,3.0496e-05,3.0496e-05
14,801.322,1.19304,2.99344,1.48744,0.44493,0.38151,0.3774,0.28028,1.12713,2.25866,1.53537,2.9704e-05,2.9704e-05,2.9704e-05
15,857.341,1.20283,2.92162,1.49143,0.55095,0.35131,0.36645,0.27386,1.10851,2.22445,1.51653,2.8912e-05,2.8912e-05,2.8912e-05
16,913.693,1.20624,2.84187,1.50021,0.45282,0.42777,0.396,0.29989,1.10998,2.17585,1.51278,2.812e-05,2.812e-05,2.812e-05
17,970.162,1.19217,2.80207,1.48678,0.57131,0.38247,0.40425,0.30432,1.11277,2.129,1.51865,2.7328e-05,2.7328e-05,2.7328e-05
18,1026.38,1.18257,2.76949,1.48099,0.48766,0.4435,0.41834,0.31719,1.10621,2.08282,1.50891,2.6536e-05,2.6536e-05,2.6536e-05
19,1082.35,1.18658,2.70895,1.4794,0.49955,0.4433,0.43676,0.33204,1.09368,2.02398,1.49706,2.5744e-05,2.5744e-05,2.5744e-05
20,1138.68,1.1761,2.68718,1.47344,0.45275,0.45684,0.44758,0.34156,1.08929,2.02,1.49573,2.4952e-05,2.4952e-05,2.4952e-05
21,1195,1.17336,2.65304,1.47197,0.50871,0.449,0.45309,0.34386,1.09169,1.99556,1.49577,2.416e-05,2.416e-05,2.416e-05
22,1251.61,1.17871,2.59902,1.47714,0.56356,0.43257,0.47209,0.36359,1.08038,1.95769,1.4899,2.3368e-05,2.3368e-05,2.3368e-05
23,1308.07,1.16059,2.51821,1.46032,0.49255,0.47584,0.48154,0.37143,1.08753,1.91232,1.48803,2.2576e-05,2.2576e-05,2.2576e-05
24,1364.45,1.15675,2.47895,1.46217,0.54936,0.4702,0.49337,0.37793,1.08604,1.89945,1.48552,2.1784e-05,2.1784e-05,2.1784e-05
25,1420.78,1.15187,2.45228,1.45705,0.59793,0.43989,0.49684,0.38194,1.07142,1.89837,1.47174,2.0992e-05,2.0992e-05,2.0992e-05
26,1477.35,1.15454,2.44002,1.45314,0.53151,0.49327,0.50018,0.38715,1.06833,1.89002,1.46667,2.02e-05,2.02e-05,2.02e-05
27,1533.41,1.15728,2.40628,1.45824,0.53075,0.48939,0.50378,0.3901,1.07268,1.86871,1.46786,1.9408e-05,1.9408e-05,1.9408e-05
28,1589.68,1.15202,2.4011,1.44959,0.5459,0.4963,0.51155,0.39251,1.06847,1.86022,1.46793,1.8616e-05,1.8616e-05,1.8616e-05
29,1645.69,1.12833,2.36224,1.43832,0.58062,0.4783,0.53006,0.40938,1.06116,1.80587,1.46587,1.7824e-05,1.7824e-05,1.7824e-05
30,1702.04,1.12736,2.31126,1.43499,0.56189,0.49844,0.52295,0.40372,1.05778,1.79267,1.45987,1.7032e-05,1.7032e-05,1.7032e-05
31,1758.49,1.14312,2.31889,1.43788,0.59842,0.49375,0.52902,0.41006,1.05568,1.79499,1.45542,1.624e-05,1.624e-05,1.624e-05
32,1814.68,1.11807,2.2759,1.42015,0.56392,0.50137,0.52662,0.40774,1.06155,1.79791,1.45722,1.5448e-05,1.5448e-05,1.5448e-05
33,1870.71,1.12173,2.25689,1.42994,0.50982,0.56429,0.54118,0.41826,1.04899,1.75429,1.44227,1.4656e-05,1.4656e-05,1.4656e-05
34,1927.05,1.10599,2.21655,1.412,0.60952,0.47647,0.53327,0.41712,1.05526,1.76923,1.45559,1.3864e-05,1.3864e-05,1.3864e-05
35,1983.49,1.10604,2.17047,1.42545,0.56057,0.52029,0.53986,0.4233,1.05314,1.76808,1.45178,1.3072e-05,1.3072e-05,1.3072e-05
36,2039.5,1.12148,2.21501,1.42561,0.54081,0.54918,0.55004,0.4307,1.04602,1.73777,1.44767,1.228e-05,1.228e-05,1.228e-05
37,2096.04,1.11498,2.19607,1.42569,0.59059,0.5135,0.54404,0.42175,1.05797,1.72836,1.45228,1.1488e-05,1.1488e-05,1.1488e-05
38,2152.24,1.09097,2.14598,1.40503,0.56928,0.53209,0.55467,0.43057,1.0497,1.71216,1.45032,1.0696e-05,1.0696e-05,1.0696e-05
39,2208.78,1.11652,2.16354,1.41736,0.57488,0.53032,0.55624,0.43492,1.04673,1.67945,1.44468,9.904e-06,9.904e-06,9.904e-06
40,2265.33,1.0988,2.1303,1.406,0.53622,0.55934,0.56988,0.44128,1.04623,1.68653,1.44337,9.112e-06,9.112e-06,9.112e-06
41,2323.19,1.01291,2.32401,1.44476,0.62103,0.50094,0.54883,0.4237,1.03852,1.86023,1.425,8.32e-06,8.32e-06,8.32e-06
42,2379.43,1.01298,2.27435,1.45005,0.48666,0.56463,0.55513,0.4306,1.03911,1.86041,1.42904,7.528e-06,7.528e-06,7.528e-06
43,2436.96,0.99036,2.22365,1.42138,0.50189,0.56101,0.55225,0.42848,1.03345,1.85432,1.42169,6.736e-06,6.736e-06,6.736e-06
44,2493.21,0.9981,2.22227,1.4402,0.54887,0.557,0.55397,0.43274,1.02825,1.80601,1.41869,5.944e-06,5.944e-06,5.944e-06
45,2548.85,0.99287,2.2085,1.43013,0.6002,0.52948,0.55645,0.43465,1.02228,1.81977,1.41413,5.152e-06,5.152e-06,5.152e-06
46,2604.71,0.98539,2.18165,1.43595,0.60175,0.53948,0.56539,0.44137,1.02754,1.79975,1.41659,4.36e-06,4.36e-06,4.36e-06
47,2660.76,0.98977,2.17875,1.43039,0.55275,0.5669,0.56323,0.43902,1.02929,1.78126,1.41882,3.568e-06,3.568e-06,3.568e-06
48,2717,0.99031,2.17024,1.44047,0.54955,0.57267,0.56782,0.44467,1.02574,1.79247,1.41413,2.776e-06,2.776e-06,2.776e-06
49,2774.63,0.98178,2.15803,1.42794,0.54745,0.57641,0.56781,0.44308,1.02401,1.76774,1.41595,1.984e-06,1.984e-06,1.984e-06
50,2830.82,0.99522,2.15567,1.43757,0.52385,0.5852,0.56487,0.44209,1.02506,1.77711,1.41603,1.192e-06,1.192e-06,1.192e-06
