epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.684,1.72041,5.70588,1.95658,0.00257,0.11956,0.0047,0.00251,1.7803,4.67464,2.05467,1.23282e-05,1.23282e-05,1.23282e-05
2,853.456,1.59294,5.15196,1.86585,0.60331,0.03016,0.01794,0.01065,1.73022,4.10365,1.98688,2.41733e-05,2.41733e-05,2.41733e-05
3,1303.09,1.57488,4.78567,1.84248,0.57526,0.05677,0.03983,0.0251,1.69982,3.77064,1.9592,3.55299e-05,3.55299e-05,3.55299e-05
4,1749.76,1.5612,4.48563,1.82449,0.60551,0.07338,0.06234,0.03893,1.71679,3.4281,1.96419,3.48022e-05,3.48022e-05,3.48022e-05
5,2199.89,1.54559,4.23041,1.80016,0.56842,0.10631,0.08673,0.05287,1.73008,3.19051,1.97058,3.40696e-05,3.40696e-05,3.40696e-05
6,2654.11,1.53664,4.07351,1.79444,0.60092,0.1154,0.1077,0.06844,1.69801,3.07644,1.93818,3.3337e-05,3.3337e-05,3.3337e-05
7,3088.28,1.51088,3.90621,1.76951,0.57952,0.14834,0.12493,0.07861,1.67252,2.9256,1.93845,3.26044e-05,3.26044e-05,3.26044e-05
8,3536.88,1.50612,3.75166,1.76329,0.57944,0.15505,0.14346,0.09004,1.6574,2.811,1.90744,3.18718e-05,3.18718e-05,3.18718e-05
9,3984.93,1.49218,3.64979,1.75009,0.54919,0.17219,0.17063,0.10897,1.598,2.69334,1.8522,3.11392e-05,3.11392e-05,3.11392e-05
10,4440.68,1.48864,3.54149,1.73845,0.58429,0.17658,0.19215,0.12229,1.62884,2.64035,1.86025,3.04066e-05,3.04066e-05,3.04066e-05
11,4873.74,1.47297,3.4233,1.71995,0.58847,0.18755,0.20856,0.13488,1.61818,2.55372,1.87041,2.9674e-05,2.9674e-05,2.9674e-05
12,5337.33,1.46126,3.3225,1.70608,0.55626,0.23223,0.23171,0.14683,1.64375,2.51383,1.87022,2.89414e-05,2.89414e-05,2.89414e-05
13,5752.75,1.45572,3.26,1.7035,0.60149,0.22515,0.24853,0.15917,1.61839,2.46463,1.85051,2.82088e-05,2.82088e-05,2.82088e-05
14,6155.47,1.45426,3.17195,1.70221,0.59416,0.23796,0.26327,0.16957,1.61388,2.4163,1.84672,2.74762e-05,2.74762e-05,2.74762e-05
15,6589.19,1.44844,3.12482,1.69625,0.60789,0.24667,0.28186,0.18567,1.59249,2.36214,1.83231,2.67436e-05,2.67436e-05,2.67436e-05
16,6999.12,1.43346,3.04385,1.68827,0.59306,0.26507,0.30318,0.20114,1.57474,2.30356,1.80781,2.6011e-05,2.6011e-05,2.6011e-05
17,7409.1,1.42026,2.97397,1.67121,0.58367,0.28763,0.31613,0.20936,1.57043,2.27434,1.80923,2.52784e-05,2.52784e-05,2.52784e-05
18,7821.58,1.42008,2.9137,1.67344,0.59011,0.27545,0.32369,0.21213,1.58125,2.24466,1.80853,2.45458e-05,2.45458e-05,2.45458e-05
19,8235.57,1.41128,2.8728,1.66787,0.57726,0.29251,0.33959,0.22418,1.57536,2.2393,1.81217,2.38132e-05,2.38132e-05,2.38132e-05
20,8634.09,1.40522,2.81643,1.65129,0.60201,0.30007,0.35174,0.23144,1.55942,2.19105,1.7967,2.30806e-05,2.30806e-05,2.30806e-05
21,9049.11,1.40316,2.77292,1.64943,0.50305,0.36187,0.36204,0.23873,1.56592,2.18903,1.79816,2.2348e-05,2.2348e-05,2.2348e-05
22,9467.98,1.40459,2.73727,1.65365,0.52613,0.34582,0.36189,0.24207,1.55011,2.17356,1.79004,2.16154e-05,2.16154e-05,2.16154e-05
23,9874.59,1.39969,2.69225,1.65158,0.54675,0.3658,0.38158,0.25502,1.533,2.10615,1.76856,2.08828e-05,2.08828e-05,2.08828e-05
24,10308.3,1.3964,2.65954,1.64757,0.5596,0.36162,0.3876,0.26011,1.54371,2.10234,1.77718,2.01502e-05,2.01502e-05,2.01502e-05
25,10742.6,1.3859,2.6272,1.63981,0.6034,0.34497,0.4087,0.27475,1.51934,2.09131,1.76433,1.94176e-05,1.94176e-05,1.94176e-05
26,11186.1,1.37883,2.58599,1.63256,0.59839,0.36419,0.40926,0.27427,1.53368,2.06903,1.76835,1.8685e-05,1.8685e-05,1.8685e-05
27,11621.4,1.37484,2.57918,1.63434,0.60809,0.36205,0.42707,0.28642,1.50892,2.08874,1.75611,1.79524e-05,1.79524e-05,1.79524e-05
28,12086.6,1.36855,2.51592,1.62655,0.601,0.37755,0.43634,0.29881,1.50803,2.035,1.75158,1.72198e-05,1.72198e-05,1.72198e-05
29,12525,1.36029,2.47645,1.61328,0.62113,0.37262,0.44133,0.2998,1.49649,2.05369,1.7417,1.64872e-05,1.64872e-05,1.64872e-05
30,12986.1,1.34871,2.44056,1.60635,0.64208,0.37205,0.44892,0.30712,1.50014,2.03447,1.73987,1.57546e-05,1.57546e-05,1.57546e-05
31,13434.6,1.36297,2.44621,1.61521,0.61378,0.40445,0.455,0.30691,1.49185,2.021,1.73373,1.5022e-05,1.5022e-05,1.5022e-05
32,13884.7,1.35951,2.4224,1.61678,0.57662,0.42941,0.4633,0.31346,1.48906,2.00275,1.72959,1.42894e-05,1.42894e-05,1.42894e-05
33,14318.6,1.34919,2.37265,1.60187,0.57607,0.43333,0.47175,0.31987,1.50021,2.01568,1.74073,1.35568e-05,1.35568e-05,1.35568e-05
34,14759.1,1.34355,2.37312,1.60002,0.59277,0.44138,0.47486,0.32141,1.49224,1.9911,1.73077,1.28242e-05,1.28242e-05,1.28242e-05
35,15199.8,1.34059,2.34464,1.59673,0.59465,0.44121,0.48378,0.32969,1.48025,1.97807,1.71896,1.20916e-05,1.20916e-05,1.20916e-05
36,15648.9,1.33261,2.32514,1.59363,0.58542,0.4446,0.48753,0.33203,1.4788,1.97259,1.71926,1.1359e-05,1.1359e-05,1.1359e-05
37,16112.1,1.34281,2.31933,1.59951,0.56834,0.46256,0.49399,0.33727,1.47048,1.96036,1.71074,1.06264e-05,1.06264e-05,1.06264e-05
38,16540.1,1.32644,2.28136,1.58591,0.60745,0.44756,0.49184,0.3338,1.47905,1.93809,1.71616,9.8938e-06,9.8938e-06,9.8938e-06
39,16971.8,1.33325,2.2745,1.58725,0.59753,0.45864,0.50413,0.34332,1.47151,1.91323,1.71153,9.1612e-06,9.1612e-06,9.1612e-06
40,17417.3,1.32974,2.27675,1.59075,0.61104,0.45256,0.50224,0.34541,1.46036,1.9177,1.70495,8.4286e-06,8.4286e-06,8.4286e-06
41,17905.6,1.26916,2.11577,1.61497,0.58777,0.4577,0.49557,0.33941,1.45215,2.05731,1.69217,7.696e-06,7.696e-06,7.696e-06
42,18381.8,1.24515,2.06322,1.60214,0.56908,0.48803,0.49764,0.34137,1.45014,2.0439,1.69178,6.9634e-06,6.9634e-06,6.9634e-06
43,18855.5,1.24232,2.04303,1.59595,0.59251,0.47996,0.50703,0.35022,1.43492,2.02646,1.67917,6.2308e-06,6.2308e-06,6.2308e-06
44,19364.8,1.23942,2.02015,1.59751,0.56739,0.4928,0.51408,0.35405,1.4348,2.00601,1.67714,5.4982e-06,5.4982e-06,5.4982e-06
45,19881.2,1.23361,2.00676,1.59112,0.58335,0.49124,0.51584,0.35669,1.43324,2.01007,1.67646,4.7656e-06,4.7656e-06,4.7656e-06
46,20354.2,1.2338,2.0032,1.59064,0.59109,0.48337,0.52162,0.36169,1.42916,1.99797,1.67222,4.033e-06,4.033e-06,4.033e-06
47,20847.3,1.23253,1.98556,1.58975,0.58478,0.48881,0.52195,0.36231,1.43154,1.99338,1.67453,3.3004e-06,3.3004e-06,3.3004e-06
48,21327.9,1.22565,1.96046,1.5806,0.60744,0.4815,0.52478,0.3659,1.42629,1.99272,1.67043,2.5678e-06,2.5678e-06,2.5678e-06
49,21823.1,1.22182,1.96685,1.57784,0.60446,0.48703,0.52261,0.36424,1.42658,1.9946,1.67017,1.8352e-06,1.8352e-06,1.8352e-06
50,22321.9,1.22448,1.9612,1.58073,0.59548,0.49,0.525,0.36568,1.42566,1.97765,1.66834,1.1026e-06,1.1026e-06,1.1026e-06
