epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7034,1.32606,5.66588,1.54167,0.0087,0.01037,0.00491,0.00313,1.11471,4.78291,1.38561,1.33152e-05,1.33152e-05,1.33152e-05
2,126.243,1.20924,5.17403,1.46614,0.00593,0.30853,0.01878,0.01248,1.1036,4.11735,1.44997,2.57692e-05,2.57692e-05,2.57692e-05
3,183.548,1.20842,4.7209,1.49535,0.59559,0.04486,0.04312,0.03003,1.133,3.72694,1.49,3.73431e-05,3.73431e-05,3.73431e-05
4,241.575,1.24867,4.39915,1.53701,0.57786,0.08277,0.07394,0.05298,1.13215,3.43845,1.515,3.604e-05,3.604e-05,3.604e-05
5,299.807,1.23422,4.1011,1.53148,0.70749,0.09238,0.11284,0.08186,1.13864,3.16675,1.52313,3.472e-05,3.472e-05,3.472e-05
6,357.211,1.2238,3.92152,1.51349,0.50787,0.1593,0.1539,0.11168,1.12569,3.01188,1.52359,3.34e-05,3.34e-05,3.34e-05
7,415.862,1.23109,3.7735,1.53644,0.53247,0.19002,0.17979,0.13339,1.11318,2.85158,1.51791,3.208e-05,3.208e-05,3.208e-05
8,474.29,1.22775,3.63152,1.52782,0.40957,0.23286,0.20937,0.15545,1.11638,2.76646,1.52387,3.076e-05,3.076e-05,3.076e-05
9,532.955,1.24345,3.52261,1.53646,0.51256,0.25012,0.23408,0.17435,1.11057,2.64079,1.52162,2.944e-05,2.944e-05,2.944e-05
10,593.177,1.22722,3.38925,1.51867,0.46614,0.2832,0.26482,0.19679,1.1042,2.55035,1.50706,2.812e-05,2.812e-05,2.812e-05
11,651.69,1.22922,3.32403,1.5268,0.44124,0.33248,0.28735,0.21303,1.11778,2.51155,1.52495,2.68e-05,2.68e-05,2.68e-05
12,710.229,1.21675,3.24476,1.51963,0.45167,0.33517,0.3148,0.23447,1.13457,2.44755,1.53245,2.548e-05,2.548e-05,2.548e-05
13,768.744,1.21479,3.16484,1.51174,0.47357,0.35618,0.32675,0.246,1.12494,2.38498,1.52011,2.416e-05,2.416e-05,2.416e-05
14,828.601,1.19829,3.08802,1.4977,0.43362,0.39782,0.34657,0.25716,1.12057,2.32862,1.53088,2.284e-05,2.284e-05,2.284e-05
15,885.836,1.20173,3.02744,1.49563,0.50244,0.36486,0.35332,0.26126,1.11373,2.3046,1.51985,2.152e-05,2.152e-05,2.152e-05
16,942.957,1.21093,2.96166,1.50714,0.49643,0.39788,0.37326,0.28067,1.10304,2.2668,1.51008,2.02e-05,2.02e-05,2.02e-05
17,999.908,1.19634,2.93403,1.49755,0.5426,0.37695,0.38411,0.28945,1.11153,2.19804,1.51851,1.888e-05,1.888e-05,1.888e-05
18,1057.86,1.18922,2.91484,1.48997,0.56777,0.38234,0.39534,0.29856,1.09611,2.16472,1.50582,1.756e-05,1.756e-05,1.756e-05
19,1115.01,1.19594,2.86406,1.4897,0.48523,0.42718,0.40406,0.30765,1.09652,2.13585,1.50485,1.624e-05,1.624e-05,1.624e-05
20,1173.25,1.18736,2.84295,1.48827,0.57395,0.39502,0.40794,0.30885,1.08749,2.13966,1.49465,1.492e-05,1.492e-05,1.492e-05
21,1230.87,1.12746,3.10346,1.56265,0.44036,0.43453,0.39995,0.30094,1.08845,2.29897,1.48243,1.36e-05,1.36e-05,1.36e-05
22,1287.27,1.11205,2.99344,1.54159,0.54078,0.41808,0.42049,0.31828,1.08044,2.28577,1.47037,1.228e-05,1.228e-05,1.228e-05
23,1345.01,1.0889,2.94387,1.51769,0.53767,0.40472,0.42221,0.3192,1.08011,2.30101,1.46767,1.096e-05,1.096e-05,1.096e-05
24,1401.32,1.09343,2.90322,1.518,0.53705,0.39946,0.43035,0.32459,1.07117,2.29304,1.45776,9.64e-06,9.64e-06,9.64e-06
25,1457.6,1.08611,2.88612,1.52006,0.55257,0.40744,0.43701,0.33487,1.06778,2.17865,1.46079,8.32e-06,8.32e-06,8.32e-06
26,1514.8,1.08239,2.85858,1.51206,0.58305,0.39127,0.43557,0.33327,1.06825,2.17355,1.46241,7e-06,7e-06,7e-06
27,1571.46,1.07545,2.82246,1.50645,0.59385,0.40511,0.44628,0.33754,1.06731,2.17519,1.46106,5.68e-06,5.68e-06,5.68e-06
28,1627.9,1.06502,2.81547,1.50421,0.57988,0.40023,0.44006,0.33575,1.06844,2.21308,1.46183,4.36e-06,4.36e-06,4.36e-06
29,1684.2,1.0749,2.81552,1.51056,0.49097,0.46496,0.44339,0.33805,1.06794,2.17388,1.45972,3.04e-06,3.04e-06,3.04e-06
30,1740.5,1.07104,2.77674,1.49974,0.57025,0.42001,0.45128,0.34256,1.06541,2.16052,1.46311,1.72e-06,1.72e-06,1.72e-06
