epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.391,1.27657,5.64906,1.48648,0.00525,0.05668,0.00604,0.00446,1.12228,4.62872,1.3627,1.23224e-05,1.23224e-05,1.23224e-05
2,226.215,1.18446,4.99276,1.43184,0.6849,0.02814,0.02428,0.01658,1.10268,3.80581,1.45707,2.38421e-05,2.38421e-05,2.38421e-05
3,335.081,1.20413,4.4829,1.48679,0.64832,0.07146,0.05826,0.03964,1.10886,3.34166,1.49379,3.45478e-05,3.45478e-05,3.45478e-05
4,443.267,1.18954,4.0833,1.4868,0.65654,0.10887,0.09766,0.06682,1.11685,2.96476,1.53699,3.3337e-05,3.3337e-05,3.3337e-05
5,552.483,1.18285,3.81347,1.49402,0.6629,0.1562,0.1382,0.09625,1.10878,2.692,1.54785,3.2116e-05,3.2116e-05,3.2116e-05
6,662.06,1.18443,3.58624,1.49014,0.72537,0.1432,0.16925,0.11919,1.10788,2.52022,1.54497,3.0895e-05,3.0895e-05,3.0895e-05
7,771.094,1.18271,3.40315,1.49279,0.66447,0.18485,0.19858,0.13907,1.11145,2.39694,1.53993,2.9674e-05,2.9674e-05,2.9674e-05
8,879.503,1.16013,3.26062,1.46876,0.71333,0.20598,0.21808,0.15589,1.10627,2.28827,1.54007,2.8453e-05,2.8453e-05,2.8453e-05
9,988.314,1.17117,3.12515,1.48425,0.59534,0.25228,0.24928,0.17874,1.09047,2.20892,1.53796,2.7232e-05,2.7232e-05,2.7232e-05
10,1096.37,1.17115,3.04224,1.47665,0.696,0.23211,0.26492,0.19004,1.10291,2.15777,1.53778,2.6011e-05,2.6011e-05,2.6011e-05
11,1205.76,1.14418,2.9077,1.45537,0.63636,0.27635,0.28441,0.20482,1.09087,2.06384,1.53041,2.479e-05,2.479e-05,2.479e-05
12,1314.07,1.14632,2.86538,1.46173,0.67291,0.26187,0.30292,0.21903,1.07835,2.02018,1.52089,2.3569e-05,2.3569e-05,2.3569e-05
13,1422.12,1.13548,2.78532,1.45217,0.64065,0.29495,0.32099,0.23329,1.08019,1.9979,1.51768,2.2348e-05,2.2348e-05,2.2348e-05
14,1530.87,1.13678,2.70432,1.44807,0.71992,0.26507,0.33232,0.24071,1.07248,1.94776,1.51663,2.1127e-05,2.1127e-05,2.1127e-05
15,1639,1.12224,2.66126,1.43813,0.65352,0.30484,0.34785,0.25292,1.06775,1.9121,1.50709,1.9906e-05,1.9906e-05,1.9906e-05
16,1747.9,1.12723,2.5598,1.44486,0.60953,0.33118,0.35261,0.25454,1.07241,1.90416,1.50344,1.8685e-05,1.8685e-05,1.8685e-05
17,1856.81,1.11929,2.55085,1.44033,0.69614,0.30797,0.37349,0.27135,1.06302,1.8751,1.49801,1.7464e-05,1.7464e-05,1.7464e-05
18,1965.81,1.12746,2.50876,1.43009,0.63382,0.33188,0.37598,0.27544,1.05796,1.83597,1.49388,1.6243e-05,1.6243e-05,1.6243e-05
19,2073.54,1.10153,2.46511,1.41983,0.73311,0.31073,0.40302,0.2962,1.05644,1.80304,1.4952,1.5022e-05,1.5022e-05,1.5022e-05
20,2182.09,1.10819,2.42312,1.42394,0.59888,0.35206,0.40144,0.29703,1.05324,1.80674,1.49019,1.3801e-05,1.3801e-05,1.3801e-05
21,2292.26,1.01382,2.68206,1.43937,0.56919,0.38116,0.38963,0.28583,1.04019,1.82193,1.46343,1.258e-05,1.258e-05,1.258e-05
22,2400.25,1.00483,2.61258,1.42371,0.62676,0.36873,0.40135,0.29946,1.03243,1.80506,1.45785,1.1359e-05,1.1359e-05,1.1359e-05
23,2507.38,0.99955,2.55552,1.4326,0.61551,0.37231,0.40538,0.30217,1.02955,1.77698,1.4521,1.0138e-05,1.0138e-05,1.0138e-05
24,2615.65,0.99598,2.54175,1.42122,0.62113,0.38192,0.40735,0.30262,1.02712,1.74563,1.44705,8.917e-06,8.917e-06,8.917e-06
25,2723.87,0.99441,2.54215,1.42209,0.60134,0.38055,0.41156,0.30707,1.02205,1.77024,1.44304,7.696e-06,7.696e-06,7.696e-06
26,2832.54,0.9873,2.49864,1.42153,0.6028,0.38932,0.41733,0.31292,1.01835,1.73931,1.44002,6.475e-06,6.475e-06,6.475e-06
27,2940.76,0.97808,2.46198,1.41382,0.5847,0.40312,0.42155,0.3172,1.01854,1.74294,1.44036,5.254e-06,5.254e-06,5.254e-06
28,3049.68,0.97135,2.44003,1.40144,0.593,0.40309,0.41828,0.31495,1.018,1.72456,1.43692,4.033e-06,4.033e-06,4.033e-06
29,3159.85,0.97432,2.42308,1.39776,0.57585,0.42678,0.42244,0.31636,1.01759,1.72759,1.43656,2.812e-06,2.812e-06,2.812e-06
30,3269.34,0.97575,2.41909,1.4054,0.59237,0.41382,0.43051,0.32298,1.01568,1.72467,1.43623,1.591e-06,1.591e-06,1.591e-06
