epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.814,1.70471,5.71291,1.91732,0.00424,0.05248,0.00414,0.00228,1.72313,4.92511,1.93662,1.23231e-05,1.23231e-05,1.23231e-05
2,795.583,1.51424,5.39543,1.74007,0.72727,0.0148,0.01342,0.00788,1.70175,4.51452,1.89254,1.97745e-05,1.97745e-05,1.97745e-05
3,1218.12,1.51077,5.11492,1.73294,0.74477,0.03224,0.02582,0.01601,1.66149,4.21275,1.86152,2.23418e-05,2.23418e-05,2.23418e-05
4,1624.05,1.51051,4.90209,1.72386,0.72474,0.03788,0.03657,0.02109,1.70834,4.01362,1.86424,1.5022e-05,1.5022e-05,1.5022e-05
5,2023.28,1.51354,4.76387,1.71331,0.73049,0.0416,0.0423,0.0248,1.69538,3.89152,1.8618,7.696e-06,7.696e-06,7.696e-06
