epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2174.39,1.08869,1.9434,1.40213,0.54127,0.62679,0.62853,0.48913,1.04936,1.54931,1.44434,2.4952e-05,2.4952e-05,2.4952e-05
40,2230.32,1.06895,1.90047,1.38661,0.6108,0.58547,0.62295,0.48591,1.04439,1.5609,1.44499,2.4556e-05,2.4556e-05,2.4556e-05
41,2285.72,1.08222,1.88518,1.41137,0.62342,0.58653,0.62654,0.48741,1.04128,1.54939,1.44214,2.416e-05,2.416e-05,2.416e-05
42,2343,1.08,1.88091,1.39601,0.63275,0.59282,0.63684,0.49614,1.04589,1.52918,1.45081,2.3764e-05,2.3764e-05,2.3764e-05
43,2399.41,1.05312,1.83099,1.38341,0.61346,0.60693,0.63419,0.4925,1.04935,1.54069,1.44912,2.3368e-05,2.3368e-05,2.3368e-05
44,2454.71,1.05588,1.80444,1.38618,0.62308,0.61723,0.65258,0.50919,1.0461,1.52136,1.44654,2.2972e-05,2.2972e-05,2.2972e-05
45,2510.47,1.04685,1.83921,1.37837,0.63844,0.61471,0.65054,0.51027,1.03815,1.50714,1.44379,2.2576e-05,2.2576e-05,2.2576e-05
46,2565.66,1.0528,1.82122,1.38456,0.59763,0.63075,0.65416,0.51024,1.04251,1.48214,1.44751,2.218e-05,2.218e-05,2.218e-05
47,2621.63,1.03935,1.78166,1.3669,0.6138,0.64412,0.66477,0.51648,1.03568,1.51153,1.43344,2.1784e-05,2.1784e-05,2.1784e-05
48,2677.94,1.04217,1.76384,1.3696,0.59525,0.65596,0.66521,0.52025,1.04946,1.49204,1.44961,2.1388e-05,2.1388e-05,2.1388e-05
49,2733,1.04833,1.76566,1.37263,0.67123,0.61765,0.66383,0.51778,1.04006,1.48131,1.4449,2.0992e-05,2.0992e-05,2.0992e-05
50,2788.74,1.05546,1.73158,1.39274,0.65,0.61576,0.66459,0.52241,1.0408,1.45961,1.43706,2.0596e-05,2.0596e-05,2.0596e-05
51,2845.28,1.0325,1.72746,1.36064,0.58008,0.67649,0.66268,0.52206,1.05075,1.46658,1.4502,2.02e-05,2.02e-05,2.02e-05
52,2901.28,1.04617,1.72434,1.37624,0.58829,0.64,0.66506,0.52628,1.03573,1.43745,1.43713,1.9804e-05,1.9804e-05,1.9804e-05
53,2957.2,1.03804,1.69208,1.36473,0.58601,0.65718,0.67657,0.53209,1.03753,1.44087,1.43989,1.9408e-05,1.9408e-05,1.9408e-05
54,3012.15,1.03576,1.66516,1.37052,0.58363,0.66696,0.67705,0.53596,1.03291,1.43357,1.44026,1.9012e-05,1.9012e-05,1.9012e-05
55,3067.46,1.04676,1.68148,1.37808,0.62807,0.64412,0.67953,0.53737,1.04161,1.41468,1.43774,1.8616e-05,1.8616e-05,1.8616e-05
56,3122.48,1.03783,1.65805,1.36868,0.66914,0.60974,0.68376,0.54001,1.03849,1.39222,1.44048,1.822e-05,1.822e-05,1.822e-05
57,3177.73,1.03088,1.66586,1.3652,0.57509,0.67954,0.68794,0.54241,1.03506,1.41434,1.43433,1.7824e-05,1.7824e-05,1.7824e-05
58,3232.73,1.018,1.62107,1.34839,0.58144,0.67485,0.69039,0.54288,1.03492,1.38524,1.4353,1.7428e-05,1.7428e-05,1.7428e-05
59,3288.98,1.01201,1.60514,1.35377,0.68662,0.62634,0.68832,0.54161,1.03063,1.39589,1.43299,1.7032e-05,1.7032e-05,1.7032e-05
60,3345,1.01813,1.61766,1.36261,0.65649,0.64154,0.69074,0.54005,1.04127,1.40156,1.43312,1.6636e-05,1.6636e-05,1.6636e-05
61,3400.67,1.0084,1.62631,1.33914,0.59601,0.68075,0.69475,0.54491,1.04173,1.43345,1.43647,1.624e-05,1.624e-05,1.624e-05
62,3457.47,1.02304,1.66793,1.34484,0.62205,0.69107,0.70243,0.54957,1.03856,1.38643,1.43327,1.5844e-05,1.5844e-05,1.5844e-05
63,3514.15,1.01396,1.58639,1.34601,0.69203,0.63942,0.69587,0.5528,1.03097,1.38948,1.42966,1.5448e-05,1.5448e-05,1.5448e-05
64,3569.63,1.02207,1.61259,1.36338,0.70838,0.62657,0.69385,0.5461,1.03485,1.37704,1.43415,1.5052e-05,1.5052e-05,1.5052e-05
65,3625.94,1.00485,1.5746,1.33332,0.6543,0.6578,0.69894,0.54994,1.03842,1.36246,1.43569,1.4656e-05,1.4656e-05,1.4656e-05
66,3681.02,1.00872,1.54409,1.34434,0.64791,0.6766,0.69364,0.54906,1.04155,1.37905,1.44341,1.426e-05,1.426e-05,1.426e-05
67,3736.59,1.01599,1.58841,1.34654,0.65763,0.66617,0.69131,0.5473,1.03817,1.37233,1.44009,1.3864e-05,1.3864e-05,1.3864e-05
68,3791.74,0.98921,1.56659,1.33829,0.65215,0.66106,0.69967,0.55169,1.03093,1.37269,1.43716,1.3468e-05,1.3468e-05,1.3468e-05
69,3846.9,0.99586,1.57809,1.33415,0.67382,0.66511,0.70594,0.55565,1.02918,1.36867,1.43317,1.3072e-05,1.3072e-05,1.3072e-05
70,3901.92,0.98984,1.54128,1.33234,0.6665,0.67002,0.70303,0.5591,1.0308,1.38817,1.43191,1.2676e-05,1.2676e-05,1.2676e-05
71,3957.01,0.99563,1.52336,1.33282,0.65723,0.66599,0.70444,0.5583,1.03289,1.35421,1.43191,1.228e-05,1.228e-05,1.228e-05
72,4012.07,1.00101,1.53232,1.33327,0.66634,0.65319,0.70837,0.55703,1.03512,1.35644,1.43277,1.1884e-05,1.1884e-05,1.1884e-05
73,4067.43,0.99144,1.51323,1.33814,0.65278,0.66592,0.70363,0.55368,1.03602,1.36553,1.43306,1.1488e-05,1.1488e-05,1.1488e-05
74,4122.28,0.99557,1.47873,1.33534,0.67613,0.66639,0.71735,0.56409,1.0396,1.34993,1.44012,1.1092e-05,1.1092e-05,1.1092e-05
75,4177.95,0.98761,1.48952,1.3261,0.68398,0.65475,0.71053,0.5627,1.03481,1.35484,1.43686,1.0696e-05,1.0696e-05,1.0696e-05
76,4233.61,0.97527,1.47488,1.31349,0.64014,0.67503,0.70959,0.55797,1.0413,1.33933,1.43661,1.03e-05,1.03e-05,1.03e-05
77,4288.83,0.98188,1.49681,1.31458,0.63366,0.67827,0.70615,0.55916,1.03524,1.34131,1.43818,9.904e-06,9.904e-06,9.904e-06
78,4343.88,0.98568,1.47982,1.3214,0.65081,0.67895,0.70014,0.55447,1.03755,1.34028,1.43978,9.508e-06,9.508e-06,9.508e-06
79,4399.77,0.9716,1.49179,1.32647,0.6555,0.66947,0.70774,0.55986,1.03974,1.32898,1.44145,9.112e-06,9.112e-06,9.112e-06
80,4454.91,0.9786,1.45947,1.32394,0.65362,0.67605,0.70883,0.55868,1.04434,1.33599,1.44281,8.716e-06,8.716e-06,8.716e-06
81,4510.14,0.97873,1.46312,1.3207,0.64239,0.69241,0.71252,0.56375,1.03901,1.3322,1.44308,8.32e-06,8.32e-06,8.32e-06
82,4565.13,0.98821,1.47942,1.32628,0.6459,0.68762,0.70797,0.56021,1.03772,1.32538,1.4394,7.924e-06,7.924e-06,7.924e-06
83,4620.62,0.97754,1.4827,1.33013,0.6287,0.69533,0.70788,0.56251,1.03889,1.33979,1.43961,7.528e-06,7.528e-06,7.528e-06
84,4676.48,0.97381,1.46028,1.3221,0.63822,0.68877,0.71113,0.56563,1.03867,1.33456,1.43705,7.132e-06,7.132e-06,7.132e-06
