epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.092,0.01077,5.5419,1.78675,0.00987,0.02257,0.00709,0.00353,0.00849,4.91866,1.46254,1.2299e-05,1.2299e-05,1.2299e-05
2,322.123,0.00875,5.30266,1.52765,0.00767,0.13262,0.01679,0.00989,0.00871,4.48547,1.46379,2.43885e-05,2.43885e-05,2.43885e-05
3,467.73,0.00859,5.02235,1.51156,0.78287,0.03508,0.03056,0.01726,0.00907,4.12242,1.49063,3.62337e-05,3.62337e-05,3.62337e-05
4,626.696,0.0087,4.74707,1.5332,0.79893,0.05471,0.05681,0.0313,0.00939,3.7612,1.56056,3.59011e-05,3.59011e-05,3.59011e-05
5,773.35,0.00879,4.46964,1.56109,0.78646,0.0783,0.08664,0.0496,0.00969,3.47921,1.61972,3.55348e-05,3.55348e-05,3.55348e-05
6,927.299,0.00886,4.24409,1.58158,0.77253,0.09796,0.10765,0.06693,0.00906,3.16212,1.57872,3.51685e-05,3.51685e-05,3.51685e-05
7,1076.95,0.00886,4.07381,1.59131,0.71704,0.13566,0.13561,0.07993,0.00975,2.96433,1.63851,3.48022e-05,3.48022e-05,3.48022e-05
8,1230.48,0.00898,3.90044,1.6195,0.72334,0.15151,0.16059,0.09281,0.01015,2.79887,1.71053,3.44359e-05,3.44359e-05,3.44359e-05
9,1393.08,0.00909,3.74555,1.63135,0.74752,0.15156,0.17974,0.10665,0.00983,2.66374,1.64181,3.40696e-05,3.40696e-05,3.40696e-05
10,1537.05,0.00907,3.57647,1.62796,0.75715,0.16576,0.20225,0.11888,0.01004,2.50212,1.67792,3.37033e-05,3.37033e-05,3.37033e-05
11,1692.12,0.00906,3.47762,1.62865,0.81275,0.16745,0.22446,0.13498,0.00984,2.44881,1.67216,3.3337e-05,3.3337e-05,3.3337e-05
12,1845.48,0.009,3.42546,1.61884,0.69199,0.22065,0.25655,0.15251,0.01006,2.33667,1.67489,3.29707e-05,3.29707e-05,3.29707e-05
13,1999.65,0.00903,3.27454,1.62337,0.67869,0.25225,0.26951,0.16343,0.00992,2.21357,1.66502,3.26044e-05,3.26044e-05,3.26044e-05
14,2143.78,0.00897,3.1987,1.61552,0.71226,0.25844,0.30173,0.18464,0.00973,2.11112,1.65604,3.22381e-05,3.22381e-05,3.22381e-05
15,2292.67,0.00901,3.1417,1.61601,0.6967,0.2714,0.32285,0.19118,0.01003,2.05976,1.671,3.18718e-05,3.18718e-05,3.18718e-05
16,2438.18,0.00897,3.07442,1.61655,0.68628,0.30015,0.33959,0.20222,0.0101,2.01196,1.67462,3.15055e-05,3.15055e-05,3.15055e-05
17,2582.03,0.00896,3.003,1.60711,0.6336,0.33972,0.3704,0.22752,0.00955,1.90493,1.61925,3.11392e-05,3.11392e-05,3.11392e-05
18,2718.1,0.0089,2.92472,1.60968,0.69244,0.32426,0.3754,0.22622,0.01008,1.87991,1.66087,3.07729e-05,3.07729e-05,3.07729e-05
19,2827.95,0.00894,2.85907,1.59861,0.68837,0.33865,0.40101,0.23874,0.01008,1.84422,1.65999,3.04066e-05,3.04066e-05,3.04066e-05
20,2943.6,0.00879,2.83499,1.58557,0.71091,0.35398,0.41995,0.26214,0.00958,1.76427,1.60808,3.00403e-05,3.00403e-05,3.00403e-05
