epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.992,1.49302,5.68259,1.6964,0.00752,0.00858,0.00551,0.00299,1.21128,4.92941,1.44629,1.2299e-05,1.2299e-05,1.2299e-05
2,201.713,1.22091,5.2502,1.46835,0.00763,0.23005,0.01729,0.00966,1.33076,4.17731,1.57319,2.41446e-05,2.41446e-05,2.41446e-05
3,292.583,1.21364,4.75407,1.50407,0.74573,0.04485,0.04722,0.02599,1.31995,3.64315,1.56993,3.55018e-05,3.55018e-05,3.55018e-05
4,382.571,1.22167,4.39593,1.51168,0.66205,0.09323,0.08298,0.04615,1.39899,3.25332,1.62041,3.48022e-05,3.48022e-05,3.48022e-05
5,481.035,1.21958,4.10554,1.51551,0.78233,0.09566,0.11976,0.0684,1.39848,2.89939,1.64386,3.40696e-05,3.40696e-05,3.40696e-05
6,580.262,1.22816,3.82532,1.5336,0.74298,0.13834,0.14601,0.08951,1.36584,2.68325,1.60333,3.3337e-05,3.3337e-05,3.3337e-05
7,674.639,1.22307,3.61994,1.52864,0.73151,0.15001,0.17389,0.10642,1.39116,2.53571,1.62757,3.26044e-05,3.26044e-05,3.26044e-05
8,771,1.20362,3.47036,1.50676,0.72076,0.17384,0.2153,0.13501,1.35708,2.3395,1.60146,3.18718e-05,3.18718e-05,3.18718e-05
9,862.435,1.18121,3.28658,1.49703,0.61119,0.23589,0.23191,0.14668,1.37782,2.26295,1.63177,3.11392e-05,3.11392e-05,3.11392e-05
10,948.637,1.20458,3.21518,1.51143,0.6875,0.22598,0.26125,0.16785,1.35108,2.14579,1.60103,3.04066e-05,3.04066e-05,3.04066e-05
11,1039.62,1.18719,3.12179,1.48893,0.66747,0.26461,0.29641,0.19543,1.28456,2.07115,1.54687,2.9674e-05,2.9674e-05,2.9674e-05
12,1128.8,1.17208,3.03002,1.48854,0.66551,0.27796,0.31503,0.20711,1.31877,2.04263,1.56648,2.89414e-05,2.89414e-05,2.89414e-05
13,1220.54,1.16757,2.8845,1.47499,0.70647,0.27881,0.33308,0.22081,1.31811,1.94113,1.57984,2.82088e-05,2.82088e-05,2.82088e-05
14,1309.69,1.16168,2.82441,1.46875,0.68286,0.32252,0.35684,0.23928,1.28969,1.88061,1.55433,2.74762e-05,2.74762e-05,2.74762e-05
15,1402.17,1.17032,2.77747,1.47724,0.71649,0.318,0.36858,0.24483,1.30462,1.84705,1.56404,2.67436e-05,2.67436e-05,2.67436e-05
16,1486.39,1.15311,2.68796,1.45737,0.73108,0.32478,0.37976,0.26505,1.22365,1.7917,1.507,2.6011e-05,2.6011e-05,2.6011e-05
17,1579.11,1.13872,2.63647,1.45284,0.74246,0.32927,0.39545,0.26831,1.26561,1.78444,1.53818,2.52784e-05,2.52784e-05,2.52784e-05
18,1668.64,1.13783,2.59817,1.45214,0.75907,0.34044,0.40994,0.27617,1.29013,1.75163,1.55159,2.45458e-05,2.45458e-05,2.45458e-05
19,1752.59,1.13789,2.5393,1.45259,0.69431,0.36139,0.41055,0.28207,1.25873,1.70402,1.53039,2.38132e-05,2.38132e-05,2.38132e-05
20,1843.14,1.14739,2.51654,1.45212,0.67689,0.39167,0.42276,0.29798,1.21335,1.6725,1.49454,2.30806e-05,2.30806e-05,2.30806e-05
21,1931.23,1.11769,2.47915,1.42782,0.69295,0.38499,0.4358,0.30147,1.24471,1.65629,1.51787,2.2348e-05,2.2348e-05,2.2348e-05
22,2016.9,1.131,2.39419,1.44306,0.76005,0.37551,0.45025,0.32511,1.16261,1.60446,1.45291,2.16154e-05,2.16154e-05,2.16154e-05
23,2104.16,1.10913,2.37659,1.42727,0.73077,0.39506,0.46136,0.32337,1.21332,1.58628,1.48927,2.08828e-05,2.08828e-05,2.08828e-05
24,2193.88,1.11286,2.34317,1.42463,0.70128,0.41442,0.4645,0.3312,1.18222,1.56777,1.46063,2.01502e-05,2.01502e-05,2.01502e-05
25,2279.26,1.0913,2.28479,1.41061,0.76372,0.38582,0.46935,0.33645,1.16243,1.55766,1.45153,1.94176e-05,1.94176e-05,1.94176e-05
26,2363.39,1.10198,2.27807,1.40895,0.74768,0.40454,0.49417,0.35379,1.1906,1.54278,1.47262,1.8685e-05,1.8685e-05,1.8685e-05
27,2455.21,1.09689,2.25193,1.41654,0.7155,0.41161,0.48627,0.35263,1.17194,1.52353,1.46237,1.79524e-05,1.79524e-05,1.79524e-05
28,2544.35,1.10504,2.22869,1.4259,0.68793,0.42716,0.49755,0.35756,1.16444,1.48622,1.45022,1.72198e-05,1.72198e-05,1.72198e-05
29,2637.02,1.08652,2.18024,1.40429,0.71269,0.43724,0.50773,0.36943,1.15982,1.50574,1.44764,1.64872e-05,1.64872e-05,1.64872e-05
30,2729.15,1.08757,2.17168,1.40259,0.73652,0.41927,0.51213,0.37089,1.16907,1.48031,1.45284,1.57546e-05,1.57546e-05,1.57546e-05
31,2819.94,1.07917,2.11393,1.39844,0.66703,0.45629,0.5167,0.37594,1.15532,1.45285,1.44877,1.5022e-05,1.5022e-05,1.5022e-05
32,2907.51,1.0897,2.16313,1.40394,0.73838,0.4318,0.52207,0.38484,1.14072,1.46069,1.43638,1.42894e-05,1.42894e-05,1.42894e-05
33,2995.64,1.08924,2.09741,1.40307,0.71393,0.44245,0.52556,0.38898,1.13744,1.43928,1.42882,1.35568e-05,1.35568e-05,1.35568e-05
34,3080.64,1.07967,2.0703,1.40056,0.76302,0.42686,0.53659,0.39638,1.13453,1.42057,1.43111,1.28242e-05,1.28242e-05,1.28242e-05
35,3167.67,1.08056,2.04632,1.39995,0.7052,0.45098,0.5325,0.38981,1.15131,1.41813,1.44346,1.20916e-05,1.20916e-05,1.20916e-05
36,3257.49,1.06849,2.039,1.38791,0.75836,0.43412,0.53345,0.39833,1.11558,1.39638,1.41822,1.1359e-05,1.1359e-05,1.1359e-05
