epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.873,1.24203,5.70839,1.46828,0.00452,0.01448,0.004,0.00246,1.09338,4.80627,1.3299,1.23161e-05,1.23161e-05,1.23161e-05
2,212.226,1.12327,5.21705,1.37653,0.00453,0.23824,0.01313,0.00902,1.06631,4.05043,1.40684,2.3836e-05,2.3836e-05,2.3836e-05
3,304.108,1.12966,4.77136,1.42067,0.68962,0.04042,0.04162,0.02838,1.05651,3.64112,1.41874,3.45419e-05,3.45419e-05,3.45419e-05
4,395.986,1.14799,4.46944,1.44946,0.70294,0.06171,0.06436,0.04347,1.05802,3.31341,1.4483,3.3337e-05,3.3337e-05,3.3337e-05
5,488.738,1.12218,4.17895,1.42887,0.66098,0.09066,0.08653,0.0593,1.05974,3.04748,1.47013,3.2116e-05,3.2116e-05,3.2116e-05
6,583.465,1.12898,3.96226,1.44961,0.63051,0.12275,0.11391,0.07981,1.0412,2.83692,1.44156,3.0895e-05,3.0895e-05,3.0895e-05
7,673.498,1.12893,3.75808,1.44426,0.67243,0.13588,0.1377,0.09783,1.04371,2.693,1.44999,2.9674e-05,2.9674e-05,2.9674e-05
8,762.537,1.13818,3.65627,1.45833,0.69465,0.15516,0.1612,0.11651,1.04957,2.54908,1.45976,2.8453e-05,2.8453e-05,2.8453e-05
9,849.422,1.10254,3.54788,1.42102,0.71835,0.15641,0.17573,0.12871,1.03781,2.44666,1.45417,2.7232e-05,2.7232e-05,2.7232e-05
10,939.313,1.11278,3.43423,1.43177,0.67304,0.19926,0.20138,0.14837,1.03298,2.33435,1.4459,2.6011e-05,2.6011e-05,2.6011e-05
11,1025.55,1.10972,3.30215,1.42802,0.70135,0.19437,0.23329,0.16977,1.02936,2.27606,1.45047,2.479e-05,2.479e-05,2.479e-05
12,1115.62,1.10054,3.25279,1.43315,0.68359,0.19431,0.24523,0.1781,1.03254,2.22357,1.44932,2.3569e-05,2.3569e-05,2.3569e-05
13,1204.06,1.09342,3.18078,1.41165,0.6531,0.23547,0.26635,0.19699,1.03012,2.14605,1.44636,2.2348e-05,2.2348e-05,2.2348e-05
14,1294.22,1.09368,3.1054,1.4073,0.70313,0.22962,0.27163,0.20345,1.00907,2.09367,1.4292,2.1127e-05,2.1127e-05,2.1127e-05
15,1378.55,1.09147,3.08263,1.41403,0.65962,0.25307,0.28156,0.21123,1.0267,2.0725,1.44148,1.9906e-05,1.9906e-05,1.9906e-05
16,1462.82,1.09135,3.00914,1.40304,0.64333,0.26811,0.29724,0.22251,1.01015,2.03781,1.43512,1.8685e-05,1.8685e-05,1.8685e-05
17,1550.77,1.0759,2.97776,1.39346,0.69527,0.2696,0.31068,0.23254,1.01109,2.00627,1.4333,1.7464e-05,1.7464e-05,1.7464e-05
