epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.337,0.01164,5.20745,1.93632,0.76718,0.04084,0.031,0.01814,0.01189,3.82704,1.97339,0.00333195,0.00333195,0.00333195
2,1108.24,0.0117,4.38368,1.94965,0.5412,0.09213,0.05635,0.03331,0.01198,3.34975,1.99995,0.0066103,0.0066103,0.0066103
3,1706.93,0.01156,4.06226,1.91869,0.45206,0.14089,0.09602,0.05647,0.01212,3.28813,2.01268,0.00983364,0.00983364,0.00983364
4,2329.29,0.01161,3.90925,1.90952,0.48274,0.17966,0.16793,0.09678,0.01231,2.83388,1.99059,0.0097525,0.0097525,0.0097525
5,2902.94,0.01146,3.64317,1.88032,0.472,0.20834,0.20603,0.11822,0.01208,2.66871,1.95459,0.00967,0.00967,0.00967
6,3545.37,0.01124,3.37142,1.84455,0.50628,0.27692,0.2968,0.17337,0.01196,2.36198,1.89423,0.0095875,0.0095875,0.0095875
7,4161.16,0.01121,3.16177,1.83535,0.57336,0.2757,0.34169,0.18611,0.01252,2.19914,1.93085,0.009505,0.009505,0.009505
8,4776.96,0.01106,2.95761,1.80701,0.52071,0.34272,0.38517,0.21306,0.01253,2.13476,1.93444,0.0094225,0.0094225,0.0094225
9,5407.44,0.01101,2.79516,1.79512,0.60176,0.32929,0.42273,0.25022,0.01198,1.97966,1.87507,0.00934,0.00934,0.00934
10,6000.04,0.01095,2.67114,1.78292,0.52968,0.42382,0.45284,0.26386,0.01179,1.85029,1.83984,0.0092575,0.0092575,0.0092575
11,6618.3,0.01089,2.55592,1.7708,0.52826,0.43637,0.48119,0.28713,0.01167,1.81206,1.80783,0.009175,0.009175,0.009175
12,7227.01,0.01079,2.4856,1.76186,0.51263,0.45665,0.49293,0.28937,0.01147,1.74801,1.79738,0.0090925,0.0090925,0.0090925
13,7844.24,0.01068,2.37758,1.73942,0.57085,0.45962,0.51314,0.29489,0.01161,1.70256,1.80665,0.00901,0.00901,0.00901
14,8470.44,0.01069,2.35923,1.75179,0.55511,0.50743,0.56874,0.32787,0.01178,1.60826,1.79343,0.0089275,0.0089275,0.0089275
15,9084.23,0.01061,2.2829,1.72384,0.58009,0.50511,0.54888,0.32173,0.01173,1.63615,1.8174,0.008845,0.008845,0.008845
16,9743.46,0.01052,2.1972,1.72075,0.56433,0.55217,0.60509,0.35944,0.01165,1.51198,1.7893,0.0087625,0.0087625,0.0087625
17,10411.2,0.01054,2.1291,1.71375,0.58425,0.54531,0.62091,0.36754,0.01145,1.4607,1.75508,0.00868,0.00868,0.00868
18,11028.9,0.01047,2.12027,1.71135,0.64634,0.52251,0.63901,0.37352,0.01163,1.42036,1.77281,0.0085975,0.0085975,0.0085975
19,11670.9,0.01047,2.09425,1.70139,0.61472,0.57752,0.6672,0.38391,0.01153,1.38869,1.74521,0.008515,0.008515,0.008515
20,12281.3,0.01045,2.06551,1.70186,0.64003,0.60612,0.67537,0.39676,0.01141,1.3538,1.73113,0.0084325,0.0084325,0.0084325
21,12934.6,0.0104,2.0211,1.69411,0.67889,0.57664,0.65662,0.38768,0.01151,1.35067,1.75036,0.00835,0.00835,0.00835
22,13549.9,0.01034,1.96823,1.68223,0.65236,0.59919,0.70165,0.41082,0.01155,1.31334,1.74919,0.0082675,0.0082675,0.0082675
23,14147.3,0.01031,1.9467,1.67595,0.65218,0.63284,0.70879,0.41971,0.0114,1.2628,1.73172,0.008185,0.008185,0.008185
24,14787,0.01021,1.91211,1.67007,0.66417,0.63858,0.69817,0.4098,0.01135,1.25779,1.72698,0.0081025,0.0081025,0.0081025
25,15402.7,0.01019,1.89311,1.66285,0.71892,0.58721,0.70486,0.42264,0.01131,1.2309,1.71404,0.00802,0.00802,0.00802
26,16051,0.01021,1.88769,1.66544,0.6595,0.65362,0.71408,0.4341,0.01111,1.20763,1.68946,0.0079375,0.0079375,0.0079375
27,16644.7,0.0101,1.8411,1.64954,0.70279,0.63909,0.73336,0.43926,0.011,1.16019,1.6737,0.007855,0.007855,0.007855
28,17302.1,0.01013,1.81911,1.64996,0.69209,0.63183,0.74009,0.44299,0.01128,1.15887,1.70059,0.0077725,0.0077725,0.0077725
29,17928.3,0.01008,1.80232,1.65072,0.72519,0.64464,0.75275,0.45653,0.01102,1.13299,1.66689,0.00769,0.00769,0.00769
30,18550,0.01009,1.77906,1.64934,0.7238,0.67067,0.76166,0.46741,0.0108,1.10373,1.63796,0.0076075,0.0076075,0.0076075
31,19220,0.01002,1.76816,1.63539,0.73528,0.65478,0.75524,0.45235,0.01103,1.09868,1.6657,0.007525,0.007525,0.007525
32,19835.8,0.01004,1.74438,1.63608,0.69329,0.69367,0.76408,0.46434,0.01089,1.08892,1.6462,0.0074425,0.0074425,0.0074425
33,20440.6,0.00999,1.72147,1.62831,0.70406,0.6998,0.76192,0.46288,0.011,1.07462,1.65706,0.00736,0.00736,0.00736
34,21068.1,0.00997,1.69925,1.62998,0.74168,0.66496,0.77546,0.46429,0.01108,1.04648,1.67028,0.0072775,0.0072775,0.0072775
35,21718.5,0.00997,1.70581,1.6282,0.71289,0.69553,0.77894,0.46798,0.01093,1.03648,1.64142,0.007195,0.007195,0.007195
36,22367.3,0.00991,1.66715,1.61974,0.7342,0.68684,0.78676,0.49075,0.01068,1.02146,1.62654,0.0071125,0.0071125,0.0071125
37,23024.7,0.00989,1.65984,1.61725,0.73573,0.70065,0.79541,0.48218,0.01088,1.00769,1.64194,0.00703,0.00703,0.00703
38,23675.2,0.00984,1.64228,1.60995,0.71248,0.72508,0.79299,0.48026,0.01083,0.98699,1.63025,0.0069475,0.0069475,0.0069475
39,24320.8,0.00983,1.62229,1.59959,0.81005,0.67372,0.80301,0.49402,0.0107,0.98139,1.61603,0.006865,0.006865,0.006865
40,24942.7,0.00984,1.63442,1.60177,0.74167,0.72782,0.80762,0.49956,0.01058,0.96391,1.60247,0.0067825,0.0067825,0.0067825
41,25616.3,0.00978,1.61251,1.60233,0.75901,0.71218,0.81588,0.49367,0.01088,0.96583,1.64347,0.0067,0.0067,0.0067
42,26201.3,0.00975,1.59598,1.59605,0.77493,0.70526,0.8123,0.50352,0.01066,0.95102,1.60654,0.0066175,0.0066175,0.0066175
43,26816.7,0.00975,1.57727,1.59914,0.74289,0.76563,0.82109,0.51121,0.01066,0.92804,1.60901,0.006535,0.006535,0.006535
44,27471.5,0.00972,1.58169,1.59234,0.72072,0.74353,0.81125,0.5007,0.01071,0.93656,1.61696,0.0064525,0.0064525,0.0064525
45,28083.1,0.0097,1.55457,1.58783,0.75881,0.73597,0.82804,0.51221,0.0106,0.91875,1.593,0.00637,0.00637,0.00637
46,28758.7,0.00973,1.56168,1.59056,0.74307,0.74111,0.81671,0.51337,0.01055,0.91605,1.59225,0.0062875,0.0062875,0.0062875
47,29376.7,0.00967,1.5407,1.5819,0.73593,0.74865,0.81867,0.5042,0.0107,0.90738,1.60406,0.006205,0.006205,0.006205
48,29997.2,0.00962,1.52611,1.57807,0.75481,0.75078,0.81897,0.51024,0.0106,0.90256,1.59325,0.0061225,0.0061225,0.0061225
49,30629.7,0.00963,1.51641,1.57921,0.75283,0.77364,0.83661,0.52079,0.0105,0.89836,1.58491,0.00604,0.00604,0.00604
50,31256.2,0.00963,1.50176,1.57545,0.77268,0.75342,0.82743,0.51186,0.01049,0.88441,1.58272,0.0059575,0.0059575,0.0059575
