epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1027.71,0.01164,5.20745,1.93632,0.76718,0.04084,0.031,0.01814,0.01189,3.82704,1.97339,0.00333195,0.00333195,0.00333195
2,1961.77,0.01173,4.37902,1.95076,0.54824,0.08198,0.06257,0.03607,0.01232,3.33702,2.02024,0.0065993,0.0065993,0.0065993
3,3050.22,0.01159,4.06953,1.92865,0.48002,0.12634,0.07853,0.0431,0.01236,3.32594,2.02678,0.00980065,0.00980065,0.00980065
4,5229.79,0.01164,3.92716,1.91976,0.44523,0.1806,0.16114,0.09416,0.01228,2.9084,1.99478,0.009703,0.009703,0.009703
5,6598.93,0.01145,3.65285,1.88853,0.48094,0.22465,0.21211,0.12907,0.01201,2.62575,1.94243,0.009604,0.009604,0.009604
6,8185.9,0.01123,3.3693,1.84242,0.39256,0.31487,0.26436,0.15767,0.01194,2.43396,1.9004,0.009505,0.009505,0.009505
