epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.354,1.9796,5.75956,2.27875,0.00024,0.00035,0.00013,0.00013,1.36313,5.14207,1.68458,1.23161e-05,1.23161e-05,1.23161e-05
2,193.819,1.6111,5.59723,1.97358,0.00391,0.08665,0.00612,0.00195,1.683,4.78024,1.96638,1.97689e-05,1.97689e-05,1.97689e-05
3,289.663,1.51998,5.31471,1.88688,0.00327,0.16654,0.00811,0.00277,1.73168,4.50309,1.99562,2.23376e-05,2.23376e-05,2.23376e-05
4,379.843,1.5355,5.1797,1.8803,0.60031,0.01484,0.00939,0.00302,1.75765,4.38456,2.0127,1.5022e-05,1.5022e-05,1.5022e-05
5,472.709,1.50561,5.06552,1.8643,0.62356,0.01652,0.01224,0.00396,1.791,4.28211,2.02285,7.696e-06,7.696e-06,7.696e-06
